file, num_threads, time_ms
2mm.wasm, 1, 33
3mm.wasm, 1, 32
UE4Game-HTML5-Shipping.wasm, 1, 25746
adi.wasm, 1, 32
atax.wasm, 1, 31
bicg.wasm, 1, 31
cholesky.wasm, 1, 34
correlation.wasm, 1, 33
covariance.wasm, 1, 31
deriche.wasm, 1, 32
doitgen.wasm, 1, 34
durbin.wasm, 1, 32
fdtd-2d.wasm, 1, 33
floyd-warshall.wasm, 1, 31
gemm.wasm, 1, 31
gemver.wasm, 1, 31
gesummv.wasm, 1, 31
gramschmidt.wasm, 1, 31
heat-3d.wasm, 1, 32
jacobi-1d.wasm, 1, 31
jacobi-2d.wasm, 1, 32
lu.wasm, 1, 32
ludcmp.wasm, 1, 32
mvt.wasm, 1, 31
nussinov.wasm, 1, 34
pspdfkit.wasm, 1, 9124
seidel-2d.wasm, 1, 32
symm.wasm, 1, 32
syr2k.wasm, 1, 31
syrk.wasm, 1, 32
trisolv.wasm, 1, 35
trmm.wasm, 1, 32
2mm.wasm, 1, 35
3mm.wasm, 1, 31
UE4Game-HTML5-Shipping.wasm, 1, 25542
adi.wasm, 1, 32
atax.wasm, 1, 31
bicg.wasm, 1, 31
cholesky.wasm, 1, 31
correlation.wasm, 1, 34
covariance.wasm, 1, 32
deriche.wasm, 1, 33
doitgen.wasm, 1, 31
durbin.wasm, 1, 33
fdtd-2d.wasm, 1, 33
floyd-warshall.wasm, 1, 32
gemm.wasm, 1, 31
gemver.wasm, 1, 31
gesummv.wasm, 1, 31
gramschmidt.wasm, 1, 31
heat-3d.wasm, 1, 32
jacobi-1d.wasm, 1, 31
jacobi-2d.wasm, 1, 32
lu.wasm, 1, 31
ludcmp.wasm, 1, 32
mvt.wasm, 1, 31
nussinov.wasm, 1, 31
pspdfkit.wasm, 1, 8957
seidel-2d.wasm, 1, 31
symm.wasm, 1, 31
syr2k.wasm, 1, 31
syrk.wasm, 1, 31
trisolv.wasm, 1, 30
trmm.wasm, 1, 31
2mm.wasm, 1, 33
3mm.wasm, 1, 31
UE4Game-HTML5-Shipping.wasm, 1, 26500
adi.wasm, 1, 32
atax.wasm, 1, 31
bicg.wasm, 1, 31
cholesky.wasm, 1, 31
correlation.wasm, 1, 31
covariance.wasm, 1, 34
deriche.wasm, 1, 32
doitgen.wasm, 1, 31
durbin.wasm, 1, 31
fdtd-2d.wasm, 1, 32
floyd-warshall.wasm, 1, 31
gemm.wasm, 1, 34
gemver.wasm, 1, 32
gesummv.wasm, 1, 31
gramschmidt.wasm, 1, 32
heat-3d.wasm, 1, 33
jacobi-1d.wasm, 1, 31
jacobi-2d.wasm, 1, 31
lu.wasm, 1, 31
ludcmp.wasm, 1, 32
mvt.wasm, 1, 31
nussinov.wasm, 1, 31
pspdfkit.wasm, 1, 8586
seidel-2d.wasm, 1, 31
symm.wasm, 1, 31
syr2k.wasm, 1, 31
syrk.wasm, 1, 31
trisolv.wasm, 1, 30
trmm.wasm, 1, 31
2mm.wasm, 1, 33
3mm.wasm, 1, 32
UE4Game-HTML5-Shipping.wasm, 1, 26059
adi.wasm, 1, 33
atax.wasm, 1, 31
bicg.wasm, 1, 32
cholesky.wasm, 1, 33
correlation.wasm, 1, 31
covariance.wasm, 1, 31
deriche.wasm, 1, 37
doitgen.wasm, 1, 32
durbin.wasm, 1, 31
fdtd-2d.wasm, 1, 32
floyd-warshall.wasm, 1, 31
gemm.wasm, 1, 31
gemver.wasm, 1, 32
gesummv.wasm, 1, 33
gramschmidt.wasm, 1, 32
heat-3d.wasm, 1, 32
jacobi-1d.wasm, 1, 31
jacobi-2d.wasm, 1, 31
lu.wasm, 1, 31
ludcmp.wasm, 1, 33
mvt.wasm, 1, 32
nussinov.wasm, 1, 32
pspdfkit.wasm, 1, 8947
seidel-2d.wasm, 1, 31
symm.wasm, 1, 31
syr2k.wasm, 1, 30
syrk.wasm, 1, 31
trisolv.wasm, 1, 31
trmm.wasm, 1, 31
2mm.wasm, 2, 23
3mm.wasm, 2, 21
UE4Game-HTML5-Shipping.wasm, 2, 16016
adi.wasm, 2, 22
atax.wasm, 2, 21
bicg.wasm, 2, 21
cholesky.wasm, 2, 21
correlation.wasm, 2, 21
covariance.wasm, 2, 21
deriche.wasm, 2, 22
doitgen.wasm, 2, 24
durbin.wasm, 2, 21
fdtd-2d.wasm, 2, 21
floyd-warshall.wasm, 2, 21
gemm.wasm, 2, 21
gemver.wasm, 2, 21
gesummv.wasm, 2, 32
gramschmidt.wasm, 2, 22
heat-3d.wasm, 2, 22
jacobi-1d.wasm, 2, 21
jacobi-2d.wasm, 2, 21
lu.wasm, 2, 31
ludcmp.wasm, 2, 22
mvt.wasm, 2, 21
nussinov.wasm, 2, 21
pspdfkit.wasm, 2, 5466
seidel-2d.wasm, 2, 20
symm.wasm, 2, 29
syr2k.wasm, 2, 32
syrk.wasm, 2, 21
trisolv.wasm, 2, 22
trmm.wasm, 2, 21
2mm.wasm, 2, 23
3mm.wasm, 2, 21
UE4Game-HTML5-Shipping.wasm, 2, 16146
adi.wasm, 2, 29
atax.wasm, 2, 20
bicg.wasm, 2, 29
cholesky.wasm, 2, 20
correlation.wasm, 2, 21
covariance.wasm, 2, 21
deriche.wasm, 2, 23
doitgen.wasm, 2, 32
durbin.wasm, 2, 21
fdtd-2d.wasm, 2, 21
floyd-warshall.wasm, 2, 28
gemm.wasm, 2, 20
gemver.wasm, 2, 21
gesummv.wasm, 2, 24
gramschmidt.wasm, 2, 21
heat-3d.wasm, 2, 21
jacobi-1d.wasm, 2, 22
jacobi-2d.wasm, 2, 21
lu.wasm, 2, 21
ludcmp.wasm, 2, 22
mvt.wasm, 2, 22
nussinov.wasm, 2, 21
pspdfkit.wasm, 2, 5448
seidel-2d.wasm, 2, 29
symm.wasm, 2, 20
syr2k.wasm, 2, 20
syrk.wasm, 2, 21
trisolv.wasm, 2, 20
trmm.wasm, 2, 21
2mm.wasm, 2, 23
3mm.wasm, 2, 21
UE4Game-HTML5-Shipping.wasm, 2, 16082
adi.wasm, 2, 21
atax.wasm, 2, 27
bicg.wasm, 2, 29
cholesky.wasm, 2, 21
correlation.wasm, 2, 21
covariance.wasm, 2, 21
deriche.wasm, 2, 22
doitgen.wasm, 2, 31
durbin.wasm, 2, 21
fdtd-2d.wasm, 2, 21
floyd-warshall.wasm, 2, 21
gemm.wasm, 2, 21
gemver.wasm, 2, 22
gesummv.wasm, 2, 22
gramschmidt.wasm, 2, 23
heat-3d.wasm, 2, 22
jacobi-1d.wasm, 2, 22
jacobi-2d.wasm, 2, 21
lu.wasm, 2, 22
ludcmp.wasm, 2, 30
mvt.wasm, 2, 21
nussinov.wasm, 2, 22
pspdfkit.wasm, 2, 5493
seidel-2d.wasm, 2, 21
symm.wasm, 2, 27
syr2k.wasm, 2, 20
syrk.wasm, 2, 21
trisolv.wasm, 2, 31
trmm.wasm, 2, 31
2mm.wasm, 2, 23
3mm.wasm, 2, 22
UE4Game-HTML5-Shipping.wasm, 2, 16151
adi.wasm, 2, 22
atax.wasm, 2, 27
bicg.wasm, 2, 21
cholesky.wasm, 2, 21
correlation.wasm, 2, 21
covariance.wasm, 2, 21
deriche.wasm, 2, 22
doitgen.wasm, 2, 22
durbin.wasm, 2, 22
fdtd-2d.wasm, 2, 21
floyd-warshall.wasm, 2, 21
gemm.wasm, 2, 29
gemver.wasm, 2, 21
gesummv.wasm, 2, 22
gramschmidt.wasm, 2, 23
heat-3d.wasm, 2, 30
jacobi-1d.wasm, 2, 20
jacobi-2d.wasm, 2, 21
lu.wasm, 2, 31
ludcmp.wasm, 2, 21
mvt.wasm, 2, 21
nussinov.wasm, 2, 22
pspdfkit.wasm, 2, 5517
seidel-2d.wasm, 2, 22
symm.wasm, 2, 23
syr2k.wasm, 2, 32
syrk.wasm, 2, 22
trisolv.wasm, 2, 22
trmm.wasm, 2, 22
2mm.wasm, 3, 24
3mm.wasm, 3, 23
UE4Game-HTML5-Shipping.wasm, 3, 15608
adi.wasm, 3, 22
atax.wasm, 3, 21
bicg.wasm, 3, 21
cholesky.wasm, 3, 24
correlation.wasm, 3, 22
covariance.wasm, 3, 21
deriche.wasm, 3, 22
doitgen.wasm, 3, 24
durbin.wasm, 3, 21
fdtd-2d.wasm, 3, 23
