file, num_threads, time_ms
2mm.wasm, 1, 76
3mm.wasm, 1, 78
UE4Game-HTML5-Shipping.wasm, 1, 44691
adi.wasm, 1, 80
atax.wasm, 1, 76
bicg.wasm, 1, 75
cholesky.wasm, 1, 76
correlation.wasm, 1, 75
covariance.wasm, 1, 75
deriche.wasm, 1, 77
doitgen.wasm, 1, 76
durbin.wasm, 1, 77
fdtd-2d.wasm, 1, 77
floyd-warshall.wasm, 1, 76
gemm.wasm, 1, 72
gemver.wasm, 1, 52
gesummv.wasm, 1, 67
gramschmidt.wasm, 1, 77
heat-3d.wasm, 1, 74
jacobi-1d.wasm, 1, 57
jacobi-2d.wasm, 1, 75
lu.wasm, 1, 76
ludcmp.wasm, 1, 78
mvt.wasm, 1, 78
nussinov.wasm, 1, 72
pspdfkit.wasm, 1, 13147
seidel-2d.wasm, 1, 48
symm.wasm, 1, 76
syr2k.wasm, 1, 76
syrk.wasm, 1, 73
trisolv.wasm, 1, 65
trmm.wasm, 1, 77
2mm.wasm, 1, 77
3mm.wasm, 1, 69
UE4Game-HTML5-Shipping.wasm, 1, 46431
adi.wasm, 1, 73
atax.wasm, 1, 76
bicg.wasm, 1, 67
cholesky.wasm, 1, 73
correlation.wasm, 1, 73
covariance.wasm, 1, 76
deriche.wasm, 1, 77
doitgen.wasm, 1, 72
durbin.wasm, 1, 71
fdtd-2d.wasm, 1, 79
floyd-warshall.wasm, 1, 67
gemm.wasm, 1, 80
gemver.wasm, 1, 73
gesummv.wasm, 1, 75
gramschmidt.wasm, 1, 77
heat-3d.wasm, 1, 79
jacobi-1d.wasm, 1, 72
jacobi-2d.wasm, 1, 75
lu.wasm, 1, 68
ludcmp.wasm, 1, 73
mvt.wasm, 1, 77
nussinov.wasm, 1, 78
pspdfkit.wasm, 1, 13711
seidel-2d.wasm, 1, 74
symm.wasm, 1, 76
syr2k.wasm, 1, 79
syrk.wasm, 1, 77
trisolv.wasm, 1, 76
trmm.wasm, 1, 71
2mm.wasm, 1, 52
3mm.wasm, 1, 47
UE4Game-HTML5-Shipping.wasm, 1, 44977
adi.wasm, 1, 84
atax.wasm, 1, 78
bicg.wasm, 1, 69
cholesky.wasm, 1, 81
correlation.wasm, 1, 86
covariance.wasm, 1, 74
deriche.wasm, 1, 79
doitgen.wasm, 1, 73
durbin.wasm, 1, 77
fdtd-2d.wasm, 1, 80
floyd-warshall.wasm, 1, 78
gemm.wasm, 1, 77
gemver.wasm, 1, 67
gesummv.wasm, 1, 48
gramschmidt.wasm, 1, 72
heat-3d.wasm, 1, 74
jacobi-1d.wasm, 1, 62
jacobi-2d.wasm, 1, 77
lu.wasm, 1, 77
ludcmp.wasm, 1, 81
mvt.wasm, 1, 77
nussinov.wasm, 1, 75
pspdfkit.wasm, 1, 13394
seidel-2d.wasm, 1, 77
symm.wasm, 1, 76
syr2k.wasm, 1, 63
syrk.wasm, 1, 78
trisolv.wasm, 1, 67
trmm.wasm, 1, 76
2mm.wasm, 1, 72
3mm.wasm, 1, 78
UE4Game-HTML5-Shipping.wasm, 1, 44072
adi.wasm, 1, 81
atax.wasm, 1, 59
bicg.wasm, 1, 77
cholesky.wasm, 1, 78
correlation.wasm, 1, 56
covariance.wasm, 1, 73
deriche.wasm, 1, 58
doitgen.wasm, 1, 73
durbin.wasm, 1, 76
fdtd-2d.wasm, 1, 79
floyd-warshall.wasm, 1, 63
gemm.wasm, 1, 73
gemver.wasm, 1, 58
gesummv.wasm, 1, 77
gramschmidt.wasm, 1, 80
heat-3d.wasm, 1, 79
jacobi-1d.wasm, 1, 76
jacobi-2d.wasm, 1, 78
lu.wasm, 1, 63
ludcmp.wasm, 1, 77
mvt.wasm, 1, 75
nussinov.wasm, 1, 77
pspdfkit.wasm, 1, 14481
seidel-2d.wasm, 1, 78
symm.wasm, 1, 76
syr2k.wasm, 1, 79
syrk.wasm, 1, 53
trisolv.wasm, 1, 70
trmm.wasm, 1, 75
2mm.wasm, 1, 74
3mm.wasm, 1, 76
UE4Game-HTML5-Shipping.wasm, 1, 43774
adi.wasm, 1, 82
atax.wasm, 1, 64
bicg.wasm, 1, 80
cholesky.wasm, 1, 80
correlation.wasm, 1, 70
covariance.wasm, 1, 78
deriche.wasm, 1, 64
doitgen.wasm, 1, 80
durbin.wasm, 1, 77
fdtd-2d.wasm, 1, 69
floyd-warshall.wasm, 1, 78
gemm.wasm, 1, 78
gemver.wasm, 1, 82
gesummv.wasm, 1, 78
gramschmidt.wasm, 1, 79
heat-3d.wasm, 1, 76
jacobi-1d.wasm, 1, 72
jacobi-2d.wasm, 1, 72
lu.wasm, 1, 78
ludcmp.wasm, 1, 77
mvt.wasm, 1, 75
nussinov.wasm, 1, 77
pspdfkit.wasm, 1, 14717
seidel-2d.wasm, 1, 76
symm.wasm, 1, 67
syr2k.wasm, 1, 77
syrk.wasm, 1, 63
trisolv.wasm, 1, 72
trmm.wasm, 1, 61
2mm.wasm, 1, 68
3mm.wasm, 1, 78
UE4Game-HTML5-Shipping.wasm, 1, 43790
adi.wasm, 1, 79
atax.wasm, 1, 77
bicg.wasm, 1, 73
cholesky.wasm, 1, 76
correlation.wasm, 1, 78
covariance.wasm, 1, 77
deriche.wasm, 1, 79
doitgen.wasm, 1, 78
durbin.wasm, 1, 67
fdtd-2d.wasm, 1, 78
floyd-warshall.wasm, 1, 76
gemm.wasm, 1, 78
gemver.wasm, 1, 77
gesummv.wasm, 1, 75
gramschmidt.wasm, 1, 77
heat-3d.wasm, 1, 78
jacobi-1d.wasm, 1, 82
jacobi-2d.wasm, 1, 78
lu.wasm, 1, 78
ludcmp.wasm, 1, 77
mvt.wasm, 1, 76
nussinov.wasm, 1, 75
pspdfkit.wasm, 1, 13520
seidel-2d.wasm, 1, 79
symm.wasm, 1, 79
syr2k.wasm, 1, 79
syrk.wasm, 1, 76
trisolv.wasm, 1, 77
trmm.wasm, 1, 76
2mm.wasm, 1, 79
3mm.wasm, 1, 66
UE4Game-HTML5-Shipping.wasm, 1, 42554
adi.wasm, 1, 80
atax.wasm, 1, 77
bicg.wasm, 1, 75
cholesky.wasm, 1, 79
correlation.wasm, 1, 74
covariance.wasm, 1, 77
deriche.wasm, 1, 73
doitgen.wasm, 1, 75
durbin.wasm, 1, 62
fdtd-2d.wasm, 1, 77
floyd-warshall.wasm, 1, 79
gemm.wasm, 1, 68
gemver.wasm, 1, 64
gesummv.wasm, 1, 78
gramschmidt.wasm, 1, 69
heat-3d.wasm, 1, 82
jacobi-1d.wasm, 1, 78
jacobi-2d.wasm, 1, 77
lu.wasm, 1, 80
ludcmp.wasm, 1, 79
mvt.wasm, 1, 75
nussinov.wasm, 1, 62
pspdfkit.wasm, 1, 14721
seidel-2d.wasm, 1, 72
symm.wasm, 1, 81
